Category,Benchmark,Expected,Result,Remark
qf_bsl_sat,rev-1-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,rev-2-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,rev-3-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,rev-4-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,rev-8-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,rev-iter-1-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,rev-iter-2-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,rev-iter-3-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,rev-iter-4-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,rev-iter-8-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-dispose-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-dispose-3.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-dispose-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-dispose-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-dispose-iter-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-dispose-iter-3.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-dispose-iter-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-dispose-iter-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-rev-1-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-rev-2-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-rev-3-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-rev-4-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-rev-8-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-rev-iter-1-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-rev-iter-2-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-rev-iter-3-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-rev-iter-4-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,test-rev-iter-8-0.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,tree-1.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,tree-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,tree-3.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,tree-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,tree-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,tseg-1.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,tseg-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,tseg-3.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,tseg-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsl_sat,tseg-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,chain-sat-1.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,chain-sat-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,chain-sat-3.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,chain-sat-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,chain-sat-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,chain-unsat-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,chain-unsat-3.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,chain-unsat-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,chain-unsat-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,lseg-1.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,lseg-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,lseg-3.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,lseg-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,lseg-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,unfold-sat-1.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,unfold-sat-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,unfold-sat-3.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,unfold-sat-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,unfold-sat-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,unfold-unsat-1.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,unfold-unsat-2.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,unfold-unsat-3.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,unfold-unsat-4.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_bsllia_sat,unfold-unsat-8.cvc4.smt2,unsat,sat,Failed,"Parse error: Stream.Error(""OBRACE or [meta_constr] expected after CHECKENTAIL (in [checkentail_cmd])"")"
qf_shid_entl,01.tst.smt2,unsat,Timeout,Failed,""
qf_shid_entl,02.tst.smt2,unsat,SAT,Failed,"Parse error: Stream.Error(""CPAREN expected after [heap_constr] (in [heap_rw])"")"
qf_shid_entl,03.tst.smt2,unsat,SAT,Failed,Fail.(may) cause:base case unfold failed
qf_shid_entl,04.tst.smt2,unsat,SAT,Failed,Fail.(may) cause:base case unfold failed
qf_shid_entl,05.tst.smt2,unsat,SAT,Failed,Fail.(may) cause:base case unfold failed
qf_shid_entl,06.tst.smt2,unsat,SAT,Failed,Fail.(may) cause:base case unfold failed
qf_shid_entl,07.tst.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,08.tst.smt2,unsat,SAT,Failed,Fail.(may) cause:Nothing_to_do?a Type: WArg
qf_shid_entl,09.tst.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,10.tst.smt2,unsat,Timeout,Failed,""
qf_shid_entl,11.tst.smt2,unsat,Timeout,Failed,""
qf_shid_entl,12.tst.smt2,unsat,Timeout,Failed,""
qf_shid_entl,13.tst.smt2,unsat,SAT,Failed,Fail.(may) cause:Nothing_to_do?cond action is empty
qf_shid_entl,14.tst.smt2,unsat,SAT,Failed,Fail.(may) cause:Nothing_to_do?cond action is empty
qf_shid_entl,15.tst.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,16.tst.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,17.tst.smt2,unsat,Timeout,Failed,""
qf_shid_entl,18.tst.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,19.tst.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,20.tst.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,21.tst.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,22.tst.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-1.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-10.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-11.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-12.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-2.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-3.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-4.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-5.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-6.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-7.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-8.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_dll_slk-9.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-1.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-10.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-11.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-12.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-13.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-14.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-15.smt2,sat,SAT,Passed,""
qf_shid_entl,append_sll_cll_slk-16.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-17.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-18.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-2.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-3.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-4.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-5.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-6.smt2,sat,SAT,Passed,""
qf_shid_entl,append_sll_cll_slk-7.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-8.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_cll_slk-9.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_ls_slk-1.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_ls_slk-2.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_ls_slk-3.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_ls_slk-4.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_ls_slk-5.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_ls_slk-6.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_ls_slk-7.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_ls_slk-8.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_slk-1.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_slk-2.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_slk-3.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_slk-4.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_slk-5.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_slk-6.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_slk-7.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,append_sll_slk-8.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll-entails-dll-rev.smt2,unsat,SAT,Failed,Fail.(may) cause:base case unfold failed
qf_shid_entl,dll-entails-dll0+.smt2,unsat,SAT,Failed,Fail.(may) cause:base case unfold failed
qf_shid_entl,dll-mid-entails-dll-rev.smt2,unsat,SAT,Failed,Fail.(may) cause:OrL[
qf_shid_entl,dll-rev-entails-dll-mid.smt2,unsat,SAT,Failed,Fail.(may) cause:OrL[
qf_shid_entl,dll-rev-entails-dll.smt2,unsat,SAT,Failed,Fail.(may) cause:OrL[
qf_shid_entl,dll-spaghetti.smt2,unsat,UNKNOWN,Failed,EXCast. Stack overflow
qf_shid_entl,dll-vc01.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll-vc02.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll-vc03.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll-vc04.smt2,sat,SAT,Passed,""
qf_shid_entl,dll-vc05.smt2,unsat,Timeout,Failed,""
qf_shid_entl,dll-vc06.smt2,sat,Timeout,Failed,""
qf_shid_entl,dll-vc07.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll-vc08.smt2,sat,Timeout,Failed,""
qf_shid_entl,dll-vc09.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll-vc10.smt2,sat,UNSAT,Failed,Valid.
qf_shid_entl,dll-vc11.smt2,unsat,SAT,Failed,Fail.(must) cause: x_emp!=null & x_emp!=y_emp & y_emp!=null |-  y_emp=null. LOCS:[0;12;13] (must-bug)
qf_shid_entl,dll-vc12.smt2,sat,Timeout,Failed,""
qf_shid_entl,dll-vc13.smt2,sat,SAT,Passed,""
qf_shid_entl,dll-vc14.smt2,sat,SAT,Passed,""
qf_shid_entl,dll-vc15.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll-vc16.smt2,sat,Timeout,Failed,""
qf_shid_entl,dll-vc17.smt2,unsat,Timeout,Failed,""
qf_shid_entl,dll2-entails-dll2-rev.smt2,unsat,Timeout,Failed,""
qf_shid_entl,dll2-rev-entails-dll2.smt2,unsat,Timeout,Failed,""
qf_shid_entl,dll2-spaghetti.smt2,unsat,UNKNOWN,Failed,EXCast. Stack overflow
qf_shid_entl,dll_append_dllnull_entails_dllnull.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll_append_tail_entails_dll.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll_append_tail_entails_dllnull.sb.smt2,unsat,SAT,Failed,"Fail.(may) cause:UnionR[UnionR[base case unfold failed,UnionR[UnionR[UnionR[UnionR[UnionR[OrL["
qf_shid_entl,dll_append_tail_entails_dllnull_nil.sb.smt2,unsat,Timeout,Failed,""
qf_shid_entl,dll_append_tail_entails_dllrev.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll_concat.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll_concat_dllrev.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll_entails_dllrev.sb.smt2,unsat,Timeout,Failed,""
qf_shid_entl,dll_entails_ls.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dll_entails_lspre.sb.smt2,unsat,SAT,Failed,"Fail.(may) cause:UnionR[base case unfold failed,base case unfold failed]"
qf_shid_entl,dll_entails_lsrev.sb.smt2,unsat,SAT,Failed,Fail.(may) cause: x!=null |-  x=t. LOCS:[7;17] (may-bug)
qf_shid_entl,dll_nil_tl_entails_dllnull.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,dllrev_append_dll_dll_entails_dll.sb.smt2,unsat,SAT,Failed,Fail.(may) cause:OrL[
qf_shid_entl,dllrev_append_dll_dll_entails_dllrev.sb.smt2,unsat,Timeout,Failed,""
qf_shid_entl,dllrev_append_dllrev_dll_entails_dll.sb.smt2,unsat,SAT,Failed,Fail.(may) cause:OrL[
qf_shid_entl,dllrev_append_dllrev_dll_entails_dllrev.sb.smt2,unsat,SAT,Failed,Fail.(may) cause:base case unfold failed
qf_shid_entl,dllrev_append_head_entails_dll.sb.smt2,unsat,SAT,Failed,"Fail.(may) cause:UnionR[UnionR[base case unfold failed,base case unfold failed],base case unfold failed]"
qf_shid_entl,dllrev_append_head_entails_dllrev.sb.smt2,unsat,Timeout,Failed,""
qf_shid_entl,dllrev_concat.sb.smt2,unsat,UNKNOWN,Failed,EXCast. Stack overflow
qf_shid_entl,dllrev_concat_dll_entails_dll.sb.smt2,unsat,SAT,Failed,Fail.(may) cause:base case unfold failed
qf_shid_entl,dllrev_concat_dll_entails_dllrev.sb.smt2,unsat,Timeout,Failed,""
qf_shid_entl,dllrev_entails_dll.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,elseg4_slk-1.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,elseg4_slk-2.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,elseg4_slk-3.smt2,sat,SAT,Passed,""
qf_shid_entl,elseg4_slk-4.smt2,sat,SAT,Passed,""
qf_shid_entl,elseg4_slk-5.smt2,unsat,SAT,Failed,Fail.(may) cause:base case unfold failed
qf_shid_entl,elseg4_slk-6.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,elseg4_slk-7.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,elseg4_slk-8.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,elseg4_slk-9.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,eolseg_01.sb.smt2,unsat,SAT,Failed,Fail.(may) cause:OrL[
qf_shid_entl,eolseg_02.sb.smt2,unsat,SAT,Failed,Fail.(may) cause:OrL[
qf_shid_entl,eolseg_05.sb.smt2,unsat,SAT,Failed,Fail.(may) cause:OrL[
qf_shid_entl,eolseg_06.sb.smt2,unsat,SAT,Failed,Fail.(may) cause:Nothing_to_do?cond action is empty
qf_shid_entl,eolseg_07.sb.smt2,unsat,SAT,Failed,Fail.(may) cause:OrL[
qf_shid_entl,eolseg_09.sb.smt2,unsat,SAT,Failed,"Fail.(may) cause:UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[UnionR[ ((u!=null | u=v)) & ((v!=null | v=y)) & x!=null |-  x=y. LOCS:[1;0;23;24] (may-bug),OrL["
qf_shid_entl,eolseg_12.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,eolseg_15.sb.smt2,unsat,SAT,Failed,Fail.(may) cause:OrL[
qf_shid_entl,ls2_entail_ls_01.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,ls2_entail_ls_04.sb.smt2,unsat,Timeout,Failed,""
qf_shid_entl,ls_entail_ls2_02.sb.smt2,unsat,Timeout,Failed,""
qf_shid_entl,ls_entail_ls2_04.sb.smt2,unsat,Timeout,Failed,""
qf_shid_entl,ls_entail_ls2_05.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,ls_entail_ls2_06.sb.smt2,unsat,UNSAT,Passed,""
qf_shid_entl,ls_entail_ls_nonrec_01.sb.smt2,unsat,SAT,Failed,"Fail.(may) cause:UnionR[ x1!=null & ((x!=null | x1=x)) |-  x=x2. LOCS:[16;1;0;17] (may-bug), x!=null & y_112!=x & y_112!=null & ((u_113!=null | y_112=u_113)) |-  y_112=x2. LOCS:[16;1;0;7;17] (may-bug)]"
qf_shid_entl,ls_entail_ls_nonrec_02.sb.smt2,unsat,SAT,Failed,"Fail.(may) cause:UnionR[UnionR[UnionR[UnionR[ x2!=null & x1!=x2 & x1!=null & ((x!=null | x1=x)) |-  x=x3. LOCS:[16;1;0;17] (may-bug),OrL["
qf_shid_entl,ls_entail_ls_nonrec_03.sb.smt2,unsat,SAT,Failed,"Fail.(may) cause:UnionR[ x2!=null & ((x1!=null | x2=x1)) & ((x!=null | x1=x)) |-  x=x3. LOCS:[16;1;0;17] (may-bug),OrL["
qf_shid_entl,ls_entail_ls_nonrec_04.sb.smt2,unsat,SAT,Failed,"Fail.(may) cause:UnionR[ x2!=null & ((x1!=null | x2=x1)) & ((x3!=null | x4=x3)) & ((x!=null | x1=x)) |-  x=x4. LOCS:[16;1;0;17] (may-bug),OrL["
qf_shid_entl,ls_entail_ls_nonrec_05.sb.smt2,unsat,SAT,Failed,"Fail.(may) cause:UnionR[ x3!=null & ((x2!=null | x3=x2)) & ((x1!=null | x2=x1)) & ((x!=null | x1=x)) |-  x=x4. LOCS:[16;1;0;17] (may-bug),OrL["
